,Car Park,Weekdays  before 5/6pm,Weekdays  after 5/6pm,Saturdays,Sundays/Public Holidays
23,Liat Towers,6.30am-5.59pm: $1.50/30min,6pm-10.59pm: $1.10/30min; 11pm to 6.29am the following day: $0.90/30min; capped at $7.20,Charges same as weekdays,6.30am-10.59pm: $1.10/30min; 11pm to 6.29am the following day: $0.90/30min; capped at $7.20
24,Lucky Plaza,7am-4.59pm: $2.20 for 1st hr; $1.74 for sub. 30min,Aft 5pm: $3.94/entry,7am-4.59pm: $2.20 for 1st hr; $1.74 for sub. 30min,Sunday: 7am-9.59pm: $2.20 for 1st hr; $1.74 for sub. 30min; 10pm-6.59am: $3.94/entry. PH: $4/entry (Does not apply if PH falls on Sunday)
25,Mandarin Gallery,6am-6pm: $3.80 for 1st hr; $2.50 for sub. 30min,$7.00/entry,6am-6pm: $3.80 for 1st hr; $2.50 for sub. 30min,6am-6pm: $3.80 for 1st hr; $2.50 for sub. 30min
26,Mount Elizabeth Hospital,6.30am-8am: $2.70/30min; 8am-11am: $3.50/30min; 11am-6.30pm: $3.20/30min.,6.30pm-6.30am (next morning): $5.00/entry.,6.30am-8am: $2.70/30min; 8am-11am: $3.50/30min; 11am-6.30pm: $3.20/30min.,6.30am-8am: $2.70/30min; 8am-11am: $3.50/30min; 11am-6.30pm: $3.20/30min.
27,Ngee Ann City,12.01am-12pm & 2.01pm-5pm: $1.28 every 30min or part thereof; 12.01pm-2pm: $1.82 every 30min or part thereof,5.01pm-7pm: $1.82 every 30min or part thereof; Aft 7pm: $4.28/entry,12.01am-12pm & 2.01pm-5pm: $2.57 for 1st hr; $1.61 every sub. 30min or part thereof; 12.01pm-2pm & 5.01pm-7pm: $3.64 for 1st hr; $2.14 every sub. 30min or part thereof; Aft 7pm: $4.28 per entry,12.01am-12pm & 2.01pm-5pm: $2.57 for 1st hr; $1.61 every sub. 30min or part thereof; 12.01pm-2pm & 5.01pm-7pm: $3.64 for 1st hr; $2.14 every sub. 30min or part thereof; Aft 7pm: $4.28 per entry
28,Orchard Building,6.30am-6pm: $1.40/30min,6pm-11pm: $1.20/30min; 11pm-6.30am: $0.90/30min; capped at maximum $7.20 for 4hrs,6.30am-6pm: $1.40/30min,6.30am-11pm: $1.20/30min; 11pm-6.30am : $0.90/30min; capped at maximum $7.20 for 4hrs
29,Orchard Central,12am-5.59pm: $2.73 for 1st hr; $0.68 for sub. 15 minutes,6pm-11.59pm: $4.09/entry,12am-5.59pm: $2.94 for 1st hr; $0.74 for sub. 15 minutes; 6pm-11.59pm: $4.41/entry,12am-5.59pm: $2.94 for 1st hr; $0.74 for sub. 15 minutes; 6pm-11.59pm: $4.41/entry
30,Orchard Grand Court,7am-5.59pm:$3.00 for 1st hr; $1.50 for next sub. 30min,6pm-6.59am: $4 per entry,7am-5.59pm:$3.00 for 1st hr; $1.50 for next sub. 30min,7am-7am the following day: $4.00/entry
31,Orchard Hotel Singapore,7am-6pm: $3.50 for 1st hr; $1.50 for sub. 30min,Aft 6pm: $5.50 per entry,7am-6pm: $3.50 for 1st hr; $1.50 for sub. 30min,$5.50 per entry
32,Orchard Plaza,7am-5pm: $1.65/30min,Aft 5pm: $4.57/entry for 1st 3hr; $1.39 for sub. 30min,7am-5pm: $1.65/30min,7am-5pm: $1.65/30min
33,Orchard Rendezvous Hotel (Formerly known as Orchard Parade Hotel),7am-6pm: $5 for 1st hr; $1.50 for sub. 30min,6pm to 7am the following day: $5 per entry,7am-6pm: $5 for 1st hr; $1.50 for sub. 30min,7am-6pm: $5 for 1st hr; $1.50 for sub. 30min
34,Orchard Towers,12am-11.59pm: $1.80/hr; Capped at $8.00/day,12am-11.59pm: $1.58/hr; Capped at $6.00/day,12am-11.59pm: $1.80/hr; Capped at $8.00/day,12am-11.59pm: $1.80/hr; Capped at $8.00/day
35,orchardgateway,12am-5.59pm: $2.38 for 1st 1hr or part thereof; $1.61 for sub. 30min or part thereof,6pm-11.59pm: $2.48 for 1st 1hr or part thereof; $1.62 for sub. 30min or part thereof,$2.48 for 1st 1hr or part thereof; $1.62 for sub. 30min or part thereof,$2.48 for 1st 1hr or part thereof; $1.62 for sub. 30min or part thereof
36,Pacific Plaza,12am-5.59pm: $3.05 for 1st hr; $0.76 for sub. 15 minutes,6pm-11.59pm: $4.58/entry,12am-5.59pm: $3.05 for 1st hr; $0.76 for sub. 15 minutes; 6pm-11.59pm: $4.58/entry,12am-5.59pm: $3.05 for 1st hr; $0.76 for sub. 15 minutes; 6pm-11.59pm: $4.58/entry
37,Palais Renaissance,7am-5pm: $3.85 for 1st hr or part thereof; $1.95 for sub. 30min or part thereof,5pm-1am: $4.60/entry; 1am - 7am: $1.80/hr or part thereof,7am-5pm: $3.85 for 1st hr or part thereof; $1.95 for sub. 30min or part thereof,7am-1am: $4.60/4hr; 1am-7am: $1.80/hr or part thereof
38,Pan Pacific Orchard,7am-4.59pm: $5.00 for 1st hr; $1.50 for sub. 30min,Aft 5pm: $5.50 per entry,7am-4.59pm: $5.00 for 1st hr; $1.50 for sub. 30min,$5.50 per entry
39,Pan Pacific Serviced Suites Orchard,8am-8am: $4.28 per hr; $2.14 per sub. 30min,-,8am-8am: $4.28 per hr; $2.14 per sub. 30min,8am-8am: $4.28 per hr; $2.14 per sub. 30min
40,Paragon Shopping Centre,3am-4.59pm: $3.00 for 1st hr; $1.60 for sub. 30min; Peak Hr Surcharge of $2 from 11am-3pm.,5pm-2.59am: $4.60 per entry,3am-4.59pm: $3.00 for 1st hr; $1.60 for sub. 30min; Peak Hr Surcharge of $2 from 11am-3pm.,3am-4.59pm: $3.00 for 1st hr; $1.60 for sub. 30min. 5pm-2.59am: $4.60 per entry
41,Penang Road Off-Street,7am-5pm $1.20/30min (Per Minute Charging),5pm-7am $0.70/30min (Per Minute Charging); Parking charges capped at $5.60 from 10.30pm-7am the following day,Same as Weekdays,7am-7am: $0.70/30min (Per Minute Charging; Parking charges capped at $5.60 from 10.30pm to 7am the following day
42,Plaza Singapura,12am-5.59pm: $1.95 for 1st hr; $0.55 for sub. 15min,6pm–11.59pm: $3.25 per entry,12am-2.59am: $0.55/15 min; 3am-5.59pm: $3.25 for 1st 2hr; $0.55 for every sub. 15min. 6pm–11.59pm: $3.25 per entry,12am-2.59am: $0.55/15 min; 3am-5.59pm: $3.25 for 1st 2hr; $0.55 for every sub. 15min. 6pm–11.59pm: $3.25 per entry
43,Pullman Singapore Orchard,6am-5.59pm: $2.30 for 1st hr; $1.60/30min,6pm-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00/entry,6am-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00 per entry.,6am-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00 per entry.
44,Regent Hotel,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 6pm to 6.59am: $6/entry. Cuscaden Parking: 6pm to 6.59am:$7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min
45,Royal Plaza On Scotts,8am-6pm: $4.80 for 1st hr; $1.80 for sub. 30min,Aft 6pm: $5.80/entry,8am-6pm: $4.80 for 1st hr; $1.80 for sub. 30min,$5.80/entry
46,Scape,6.01am-6pm: $1.99 for 1st hr; $1.40 for sub. 30min,6.01pm-6am: $2.29 for 1st hr; $1.40 for sub. 30min,6.01am-6pm: $1.99 for 1st hr; $1.40 for sub. 30min,6.01am-6pm: $1.99 for 1st hr; $1.40 for sub. 30min
47,Scotts Square,8am-5.29pm : $3.27 for 1st hr; $1.64 for sub. ½ hr or part thereof.,5.30pm-7.59am: $4.91 per entry,8am-5.29pm : $3.27 for 1st hr; $1.64 for sub. ½ hr or part thereof.,8am-5.29pm : $3.27 for 1st hr; $1.64 for sub. ½ hr or part thereof.
48,Shangri-la Hotel,7am-5pm: $6 for 1st hr; $2 for sub. 30min,Aft 5pm: $8 per entry,7am-5pm: $6 for 1st hr; $2 for sub. 30min,7am-5pm: $6 for 1st hr; $2 for sub. 30min
49,Shaw Centre,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min,6.01pm-3.01am: $4 per entry,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min
50,Shaw House,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min,6.01pm-3.01am: $4 per entry,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min,3.01am-6pm: $2 for 1st hr; $1.50 for sub. 30min
51,Sheraton Towers Singapore,7am-6pm: $4.00 for 1st hr; $2.00 for next sub. 30min,Aft 6pm: $6 per entry,7am-6pm: $4.00 for 1st hr; $2.00 for next sub. 30min,$6 per entry
52,Singapore Marriott Tang Plaza Hotel,6am-6pm: $3.00 for 1st hr; $0.05/min,Aft 6pm: $6 per entry,6am-6pm: $3.00 for 1st hr; $0.05/min,6am-6pm: $3.00 for 1st hr; $0.05/min
53,Singapore Shopping Centre,8am-8pm: $2.50 for 1st hr; $1.25 for sub. 30min,Aft 8pm: $3 per entry,8am-8pm: $2.50 for 1st hr; $1.25 for sub. 30min,8am-8pm: $2.50 for 1st hr; $1.25 for sub. 30min
54,Tang Plaza,6am-6pm: $3.00 for 1st hr; $0.05/min up to a maximum charge of $18.00,Aft 6pm: $6 per entry,6am-6pm: $3.00 for 1st hr; $0.05/min up to a maximum charge of $18.00,6am-6pm: $3.00 for 1st hr; $0.05/min up to a maximum charge of $18.00
55,Tanglin Mall,6am-5pm: $2.40 for 1st hr; $1.20 for sub. 30min,Aft 5pm: $3.50 per entry,Charges same as weekdays; but $3.50 per entry after 1pm,$3.50 per entry
56,Tanglin Shopping Centre,8am-5.59pm: $3.50 for 1st hr; $1.75 for next sub.sequent 30min,Aft 6pm: $3.60 per entry,8am-5.59pm: $3.50 for 1st hr; $1.75 for next sub.sequent 30min,$3.60 per entry
57,The Atrium @ Orchard,12am-5.59pm: $1.95 for 1st hr; $0.55 for sub. 15min,6pm–11.59pm: $3.25 per entry,12am-2.59am: $0.55/15min; 3am-5.59pm: $3.25 for 1st 2hrs; $0.55 for sub. 15min; 6pm-11.59pm: $3.25 per entry,12am-2.59am: $0.55/15min; 3am-5.59pm: $3.25 for 1st 2hrs; $0.55 for sub. 15min; 6pm-11.59pm: $3.25 per entry
58,The Cathay,8am-9:59am: $1.40 per 30min; 10am-5:59pm: $1.40 per hr,6pm-7.59am: $3 per entry,8.00am-5.59pm: $1.40 per hour; 6pm-7.59am: $3 per entry,8.00am-5.59pm: $1.40 per hour; 6pm-7.59am: $3 per entry
59,The Centrepoint,6am-5.59am: $2.80 for 1st hr; $1.20 for sub. 30min or part thereof.,-,6am-5.59apm: $3 for 1st hr or part thereof; $1.20 for sub. 30min or part thereof.,6am-5.59apm: $3 for 1st hr or part thereof; $1.20 for sub. 30min or part thereof.
60,The Heeren,3am-4.59pm: $4.00 for 1st hour and $2.00 for sub. 30 min or part thereof,3am-4.59pm: $4.50 per entry,$6.00 for 1st two hours and $2.00 for sub. 30min or part thereof,$6.00 for 1st two hours and $2.00 for sub. 30min or part thereof
61,TripleOne Somerset,7am-5.59pm: $1.50 per 30min (charges are before GST),6pm-11.59am: $2.30 per entry; 12am-6.59am:$0.50 sub. 15 min,7am-5.59pm: $2 for 1st hr; $0.50 sub. 15 min. 6pm-11.59am: $2.30 per entry; 12am-6.59am:$0.50 sub. 15 min,7am-5.59pm: $2 for 1st hr; $0.50 sub. 15 min. 6pm-11.59am: $2.30 per entry; 12am-6.59am:$0.50 sub. 15 min
62,Visioncrest Commercial,"12am-6.59am: $3.24/entry; 7am-5.59pm: $2.70 for 1st hr, $1.35 for sub. 30min",6pm-11.59pm: $3.24 per entry,"12am-6.59am: $3.24/entry; 7am-5.59pm: $2.70 for 1st hr, $1.35 for sub. 30min",7am-11.59pm: $3.24 per entry; 12am-6.59am the following day: $3.24 per entry
63,Wheelock Place,6am-5.30pm: $3.27 for 1st hr; $1.64 for sub. 30min.,5.30pm-6am: $4.91 per entry.,6am-5.30pm: $3.27 for 1st hr; $1.64 for sub. 30min.,6am-5.30pm: $3.27 for 1st hr; $1.64 for sub. 30min.
64,Winsland House,7am-7pm: $2.50 for 1st hr; $1.20 for sub. 30min,7pm-11pm: $3.50 per entry; 11pm-7am: $3.50 per entry,7am-7pm: $2.50 for 1st hr; $1.20 for sub. 30min,7am-11pm: $4.50 per entry; 11pm-7am: $3.50 per entry
65,Wisma Atria,12am-5pm: $2.60 for 1st hr; $1.70 for sub. 30min (Lunch hr surcharge of additional $1.10 between 12pm-2pm daily),After 5pm: $5.00 per entry,12am-5pm: $2.70 for 1st hr; $1.70 for sub. 30min (Lunch hr surcharge of additional $1.10 between 12pm-2pm daily); After 5pm: $5.00 per entry,12am-5pm: $2.70 for 1st hr; $1.70 for sub. 30min (Lunch hr surcharge of additional $1.10 between 12pm-2pm daily); After 5pm: $5.00 per entry
66,York Hotel,8.01am-6pm: $3 for 1st hr; $1.50 for sub. 30min,6pm-8am: $4 per entry,8.01am-6pm: $3 for 1st hr; $1.50 for sub. 30min,$4 per entry
67,Yotel Singapore (shared carpark with International Building),7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.,6pm-7am: $4 per entry,7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.,7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.
68,Ang Mo Kio Hub,$1.70 for 1st hr or part thereof. $0.85 for sub ½ hr or part thereof.,$1.70 for 1st hr or part thereof. $0.85 for sub ½ hr or part thereof.,$1.80 for 1st hr or part thereof. $0.95 for sub ½ hr or part thereof.,$1.80 for 1st hr or part thereof. $0.95 for sub ½ hr or part thereof.
69,Balestier Plaza,$1.20/hr,$1.20/hr,$1.20/hr,$1.20/hr
70,Balestier Point,"8am-10pm: $1.40 for 1st hr, $0.70 for sub 30mins.",10pm-8am the following day: $2.50/entry.,"8am-10pm: $1.40 for 1st hr, $0.70 for sub 30mins.",8am-8am the following day: $2.50/entry.
71,Bras Basah Complex,7am-10am: $1.20 per ½ hr. 10am-10.30pm: $1.40 per ½ hr.,10am-10.30pm: $1.40 per ½ hr. 10.30pm-7am: $0.60 per ½ hr.,7am-10am: $1.20 per ½ hr. 10am-10.30pm: $1.40 per ½ hr.,7am-10am: $1.20 per ½ hr. 10am-10.30pm: $1.40 per ½ hr.
72,Burghley Lifestyle Hub,7am-7am the following day: $0.02/min,7am-7am the following day: $0.02/min capped at $2.14,7am-7am the following day: $0.02/min,7am-7am the following day: $0.02/min
73,Causeway Point,6am-5.59am: $1.40 for 1st hr; $0.80 for sub. 30mins or part thereof.,6am-5.59am: $1.40 for 1st hr; $0.80 for sub. 30mins or part thereof.,6am-5.59am: $1.50 for 1st hr; $0.80 for sub. 30mins or part thereof.,6am-5.59am: $1.50 for 1st hr; $0.80 for sub. 30mins or part thereof.
74,City Square Mall,"6am- 5.59pm: $2.18 for 1st hr or part thereof, $1.09 for every sub 30mins or part thereof.",6pm-5.59am: $3.27 per entry.,"6am-5.59pm: $2.18 for 1st hr or part thereof, $1.09 for every sub 30mins. 6pm-5.59am: $3.82 per entry.","6am-5.59pm: $2.18 for 1st hr or part thereof, $1.09 for every sub 30mins. 6pm-5.59am: $3.82 per entry."
75,Compass One,Daily (7am-11pm): $1.50 for 1st hr; $0.80 for sub 30mins period.,-,-,-
76,Connexion,"7am-5.59pm: $3 for 1st hr, $1.50 for sub 30 mins.",6pm-6.59am: $4 per entry.,"7am-5.59pm: $3 for 1st hr, $1.50 for sub 30 mins.","7am-5.59pm: $3 for 1st hr, $1.50 for sub 30 mins."
77,Goldhill Plaza,7am-5.30pm: $1.60 for 1st hr; $1 for next sub. 30min,5.30pm-12am: $2/entry . 12am-11.59pm: $0.64 for next sub. 30min,7am-5.30pm: $1/hr; 5.30pm-12am: $2/entry; 12am-7am the following day: $2/entry.,7am-5.30pm: $1/hr; 5.30pm-12am: $2/entry; 12am-7am the following day: $2/entry.
78,Greenwich V,6am-5.59pm: $1.53 for 1st hr; $0.38 for sub. 15 mins.,6pm-12am: $2.29 per entry.,6am-5.59pm: $1.53 for 1st hr; $0.38 for sub. 15 mins.,6am-5.59pm: $1.53 for 1st hr; $0.38 for sub. 15 mins.
79,Heartland Mall,7am-10.30pm: $1 per hr,Aft 10.30pm: $2 per hr,7am-10.30pm: $1 per hr,7am-10.30pm: $1 per hr
80,Hougang Green Shopping Mall,7am-4.59pm: $1.30 for 1st hr; $0.70 for next sub. 30min.,5pm-11.59pm: $3 per entry; 12am-6.59am the following day: $5 per entry.,7am-4.59pm: $1.30 for 1st hr; $0.70 for next sub. 30min.,7am-11.59pm: $3 per entry; 12am-6.59am the following day: $5 per entry.
81,Hougang Mall,6am-6pm: $1.35 for 1st hr; $0.95 sub.30mins or part thereof,6pm-6am: $2.25 per entry,6am-6pm: $1.50 for 1st hr; $1.15 sub.30mins or part thereof; 6pm-6am: $2.25 per entry,6am-6pm: $1.50 for 1st hr; $1.15 sub.30mins or part thereof; 6pm-6am: $2.25 per entry
82,Hougang1,6am-5.59pm: $1.64 for 1st hr; $0.41 for sub. 15 mins.,6pm-12am: $2.45 per entry.,6am-5.59pm: $1.74 for 1st hr; $0.44 for sub. 15 mins. 6pm-12am: $2.62 per entry.,6am-5.59pm: $1.74 for 1st hr; $0.44 for sub. 15 mins. 6pm-12am: $2.62 per entry.
83,Junction 8,12am-5.59pm - $1.35 for 1st hr; $0.45 for sub. 15 mins,6pm-11.59pm: $2.65 per entry,12am-5.59pm - $2.65 for 1st 2hr; $0.45 for sub. 15 mins. 6pm-11.59pm: $2.65 per entry,12am-5.59pm - $2.65 for 1st 2hr; $0.45 for sub. 15 mins. 6pm-11.59pm: $2.65 per entry
84,Mapex Building,7am-7pm: $1.29 per hr,7pm-7am: $2.68 per entry,7am-7pm: $1.29 per hr,7am-7pm: $1.29 per hr
85,Mustafa Centre,7am-1.30am the followng day: $1 per 30mins,7am-1.30am the followng day: $1 per 30mins,7am-1.30am the followng day: $1 per 30mins,7am-1.30am the followng day: $1 per 30mins
86,Nex Mall,Mon-Fri: $1.50 for 1st hr; $0.75 for sub. ½ hr or part thereof.,Same as Saturday,$1.60 for 1st hr; $0.80 for sub. ½ hr or part thereof.,$1.60 for 1st hr; $0.80 for sub. ½ hr or part thereof.
87,Northpoint City,6am-5.59am: $1.40 for 1st hr; $0.80 for sub. 30mins.,6am-5.59am: $1.40 for 1st hr; $0.80 for sub. 30mins.,6am-5.59am: $1.50 for 1st hr; $0.80 for sub. 30mins.,6am-5.59am: $1.50 for 1st hr; $0.80 for sub. 30mins.
88,Oasia Hotel Novena,"6am-6pm: $2.50 for 1st hr, $1.20 for sub 30mins or part thereof.",6pm-6am the following day: $2.50 per entry,"6am-6pm: $2.50 for 1st hr, $1.20 for sub 30mins or part thereof.",6am to 6am the following day :$3.00/entry
89,PARKROYAL On Kitchener Road,6am-5.59pm: $2 for 1st hr; $0.80 for sub 30mins and part thereof.,6pm-5.59am: $3 per entry.,6am-5.59pm: $2 for 1st hr; $0.80 for sub 30mins and part thereof.,6am-5.59pm (next day): $3.50 per entry
90,Parliament House,8am-6pm: $1.38 per 30 mins,6.01pm-7.59am the following day: $2.41 per 4hr block,8am-6pm: $1.38 per 30 mins,8am-7.59am the following day: $2.41 per 4hr block
91,Ramada by Wyndham Singapore,6am-6pm: $1.80 per hr (Zhongshan Mall),Aft 6pm: $2.20 per entry,6am-6pm: $1.80 per hr (Zhongshan Mall),6am-6pm: $1.80 per hr (Zhongshan Mall)
92,Rivervale Mall,"Daily: $1.28 for 1st hr, $0.64 for sub. 30 mins or part thereof.",-,-,-
93,Sembawang Shopping Centre,12am-11.59pm: $1.53 for 1st hr; $0.87 for sub. 30 mins,12am-11.59pm: $1.53 for 1st hr; $0.87 for sub. 30 mins,12am-11.59pm: $1.64 for 1st hr; $0.87 for sub. 30 mins.,12am-11.59pm: $1.64 for 1st hr; $0.87 for sub. 30 mins.
94,Shaw Plaza,6am-5.59pm: $1.80/hr,6pm-5.59am the following day: $3.00/entry,6am-5.59pm: $1.80/hr,6am-5.59pm: $1.80/hr
95,Singapore Turf Club,9.00am-11.00pm: $3 per entry,-,9.00am-11.00pm: $6 per entry,-
